accession,virus,viral_family,host
NC_022623,Mobuck virus,Sedoreoviridae,Odocoileus virginianus
NC_022624,Mobuck virus,Sedoreoviridae,Odocoileus virginianus
NC_022625,Mobuck virus,Sedoreoviridae,Odocoileus virginianus
NC_022626,Mobuck virus,Sedoreoviridae,Odocoileus virginianus
NC_022627,Mobuck virus,Sedoreoviridae,Odocoileus virginianus
NC_022628,Mobuck virus,Sedoreoviridae,Odocoileus virginianus
NC_022629,Mobuck virus,Sedoreoviridae,Odocoileus virginianus
NC_022633,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022634,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022635,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022636,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022637,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022638,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022639,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022640,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022641,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022642,Changuinola virus,Sedoreoviridae,Hylaeamys megacephalus
NC_022647,Mesocricetus auratus papillomavirus 1,Papillomaviridae,Mesocricetus auratus
NC_022755,American bat vesiculovirus,Rhabdoviridae,Eptesicus fuscus
NC_022787,Porcine torovirus,Tobaniviridae,Sus scrofa
NC_022788,Gyrovirus Tu243,Anelloviridae,Homo sapiens
NC_022789,Gyrovirus Tu789,Anelloviridae,Homo sapiens
NC_022800,Feline bocaparvovirus 2,Parvoviridae,Felis catus
NC_022802,Feline sakobuvirus A,Picornaviridae,Felis catus
NC_022892,Human papillomavirus 167,Papillomaviridae,Homo sapiens
NC_023008,Butcherbird polyomavirus,Polyomaviridae,Cracticus torquatus
NC_023020,Porcine parvovirus 5,Parvoviridae,Sus scrofa
NC_023162,limnipivirus B1,Picornaviridae,Cyprinus carpio
NC_023176,Porcine pestivirus isolate Bungowannah,Flaviviridae,Sus scrofa
NC_023178,Castor canadensis papillomavirus 1,Papillomaviridae,Castor canadensis
NC_023421,Anguilla anguilla circovirus,Circoviridae,Anguilla anguilla
NC_023425,Avian hepatitis E virus,Hepeviridae,Gallus gallus
NC_023496,Saimiri sciureus papillomavirus 1,Papillomaviridae,Saimiri sciureus
NC_023629,Bovine astrovirus B76/HK,Astroviridae,Bos
NC_023630,Bovine astrovirus B76-2/HK,Astroviridae,Bos
NC_023631,Bovine astrovirus B18/HK,Astroviridae,Bos
NC_023632,Bovine astrovirus B170/HK,Astroviridae,Bos
NC_023636,Porcine astrovirus 5,Astroviridae,Sus scrofa
NC_023637,Posavirus 1,,Sus scrofa
NC_023638,Posavirus 2,,Sus scrofa
NC_023673,Porcine bocavirus,Parvoviridae,Sus scrofa
NC_023674,Porcine astrovirus 2,Astroviridae,Sus scrofa
NC_023675,Porcine astrovirus 4,Astroviridae,Sus scrofa
NC_023677,Chimpanzee herpesvirus strain 105640,Orthoherpesviridae,Pan troglodytes
NC_023760,Mink coronavirus strain WD1127,Coronaviridae,Neogale vison
NC_023761,ROUT virus,Arenaviridae,Boa constrictor
NC_023762,ROUT virus,Arenaviridae,Boa constrictor
NC_023763,Mammarenavirus merinoense,Arenaviridae,Myotomys unisulcatus
NC_023764,Mammarenavirus merinoense,Arenaviridae,Myotomys unisulcatus
NC_023765,University of Helsinki virus,Arenaviridae,Boa constrictor
NC_023766,University of Helsinki virus,Arenaviridae,Boa constrictor
NC_030445,Bluegill hepatitis B virus,Hepadnaviridae,Lepomis macrochirus
NC_030446,Tibetan frog hepatitis B virus,Hepadnaviridae,Nanorana parkeri
NC_030447,Gemycircularvirus HV-GcV1,Genomoviridae,Homo sapiens
NC_030448,Gemycircularvirus HV-GcV2,Genomoviridae,Homo sapiens
NC_030454,enterovirus A114,Picornaviridae,Homo sapiens
NC_030461,Chimpanzee faeces associated circular DNA molecule 1,,Pan troglodytes
NC_030466,Chimpanzee faeces associated circular DNA virus 1,Circoviridae,Pan troglodytes
NC_030650,Gorilla anellovirus,Anelloviridae,Catarrhini
NC_030653,Atypical porcine pestivirus 1,Flaviviridae,Sus scrofa domesticus
NC_030656,Pteropox virus,Poxviridae,Pteropus scapulatus
NC_030688,Parrot bornavirus 4,Bornaviridae,Neognathae
NC_030690,Canary bornavirus 1,Bornaviridae,Serinus canaria
NC_030691,Aquatic bird bornavirus 2,Bornaviridae,Anatinae
NC_030692,Borna disease virus 2,Bornaviridae,Boreoeutheria
NC_030697,Picornavirales Bu-3,,Sus scrofa domesticus
NC_030701,Variegated squirrel bornavirus 1,Bornaviridae,Echinosciurus variegatoides
NC_030744,Picornavirales Tottori-HG1,,Sus scrofa domesticus
NC_030745,Picornavirales Bu-1,,Sus scrofa domesticus
NC_030791,Hepatitis C virus genotype 7,Flaviviridae,Homo sapiens
NC_030792,Equine adenovirus 1,Adenoviridae,Equus caballus
NC_030793,Bovine calicivirus strain Kirklareli,Caliciviridae,Bos taurus
NC_030795,Bos taurus papillomavirus 13,Papillomaviridae,Bos taurus
AB073912,Swine hepatitis E virus,Hepeviridae,Sus scrofa
AB090161,Theiler's-like virus of rats,Picornaviridae,Muroidea
AB187514,Norovirus Hu/GI/Otofuke/1979/JP,Caliciviridae,Homo sapiens
AB187566,Murine leukemia virus,Retroviridae,Murinae
AB205396,Coxsackievirus A18,Picornaviridae,Homo sapiens
AB211993,Human papillomavirus type 27b,Papillomaviridae,Homo sapiens
AB220921,Norovirus Hu/Chiba/04-1050/2005/JP,Caliciviridae,Homo sapiens
AB252582,Human parechovirus 6,Picornaviridae,Catarrhini
AB331650,Bos taurus papillomavirus 9,Papillomaviridae,Bos taurus
AB331651,Bos taurus papillomavirus 10,Papillomaviridae,Bos taurus
AB365435,Norovirus Hu/Texas/TCH04-577/2004/US,Caliciviridae,Homo sapiens
AB448767,Human adenovirus D8,Adenoviridae,Homo sapiens
AB516393,hepatitis B virus genotype H,Hepadnaviridae,Homo sapiens
AB543507,Bos taurus papillomavirus 11,Papillomaviridae,Bos taurus
AB593690,Hepatitis E virus type 3,Hepeviridae,Homo sapiens
AB611707,Simian retrovirus Y,Retroviridae,Macaca fuscata
AB614356,Sapovirus Hu/GI.2/BR-DF01/BRA/2009,Caliciviridae,Homo sapiens
AB678778,Coxsackievirus A6,Picornaviridae,Homo sapiens
AB690461,Hepatitis C virus subtype 2a,Flaviviridae,Homo sapiens
AB724351,Human adenovirus D10,Adenoviridae,Homo sapiens
AB765926,Human adenovirus 81,Adenoviridae,Homo sapiens
AB795432,Hepatitis C virus subtype 4a,Flaviviridae,Homo sapiens
AB819611,Hepatitis B virus genotype B,Hepadnaviridae,Homo sapiens
KT264824,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264825,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264826,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264827,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264828,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264829,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264830,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264832,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264833,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264834,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264835,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264795,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264796,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264797,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264798,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264799,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264800,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264801,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264802,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264803,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264804,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264805,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264806,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264807,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264808,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264809,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264810,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264811,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264812,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264813,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264814,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264815,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264816,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264818,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264819,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264820,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264821,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264822,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264823,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264749,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264750,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264751,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264752,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264753,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264754,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264755,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264756,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264757,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264758,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264759,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264761,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264762,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264763,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264764,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264765,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264766,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264767,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264768,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264769,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264770,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264771,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264773,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264774,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264775,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264776,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264777,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264779,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264780,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264781,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264782,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264783,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264784,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264785,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264786,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264787,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264788,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264789,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264790,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264791,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264792,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264793,Gokushovirus WZ-2015a,Microviridae,Amniota
KT264794,Gokushovirus WZ-2015a,Microviridae,Amniota
KT983771,Choclo virus,Hantaviridae,Oligoryzomys fulvescens
KT983772,Choclo virus,Hantaviridae,Oligoryzomys fulvescens
KT983773,Choclo virus,Hantaviridae,Oligoryzomys fulvescens
KX513864,Human gokushovirus,Microviridae,Homo sapiens
KX513865,Human gut gokushovirus,Microviridae,Homo sapiens
KX513866,Human gut gokushovirus,Microviridae,Homo sapiens
KX513868,Human gut gokushovirus,Microviridae,Homo sapiens
KX513869,Human gut gokushovirus,Microviridae,Homo sapiens
KX513870,Human gut gokushovirus,Microviridae,Homo sapiens
KX513872,Human gut gokushovirus,Microviridae,Homo sapiens
KX513873,Human gut gokushovirus,Microviridae,Homo sapiens
KX513874,Human gut gokushovirus,Microviridae,Homo sapiens
KX513876,Human gut gokushovirus,Microviridae,Homo sapiens
KX513877,Human gut gokushovirus,Microviridae,Homo sapiens
KX513871,Human gut microviridae SH-CHD8,Microviridae,Homo sapiens
KX513875,Human gut microviridae SH-CHD12,Microviridae,Homo sapiens
KY053532,Siphovirus 29632,,Homo sapiens
L22579,Variola major virus,Poxviridae,Variola
L24917,rhinovirus A16,Picornaviridae,Homo sapiens
LC035390,Pigeon circovirus,Circoviridae,Columba livia
LK021688,Enterovirus A120,Picornaviridae,Homo sapiens
LN610099,Guinea fowl coronavirus GfCoV/FR/2011,Coronaviridae,Numididae
M11910,Odocoileus virginianus papillomavirus 1,Papillomaviridae,Odocoileus virginianus
M12197,Poliovirus 2,Picornaviridae,Euarchontoglires
M12732,human papillomavirus 33,Papillomaviridae,Homo sapiens
M12737,Human papillomavirus type 8,Papillomaviridae,Homo sapiens
M14008,Avian carcinoma Mill Hill virus 2,Retroviridae,Coturnix coturnix
M14119,human papillomavirus 11,Papillomaviridae,Homo sapiens
M16560,Coxsackievirus B1,Picornaviridae,Homo sapiens
M20301,Theiler's encephalomyelitis virus,Picornaviridae,Muroidea
M23385,Squirrel monkey retrovirus-H,Retroviridae,Saimiri
M32305,human papillomavirus 47,Papillomaviridae,Homo sapiens
M35027,Vaccinia virus Copenhagen,Poxviridae,Homo sapiens
M60184,Macaca mulata papillomavirus 1,Papillomaviridae,Macaca mulatta
M62877,human papillomavirus 51,Papillomaviridae,Homo sapiens
M73236,human papillomavirus 42,Papillomaviridae,Homo sapiens
M74117,human papillomavirus 35,Papillomaviridae,Homo sapiens
M81888,LuIII virus,Parvoviridae,Rodentia
MG599946,Wenling yellow goosefish hantavirus,Hantaviridae,Lophius litulon
MG599947,Wenling yellow goosefish hantavirus,Hantaviridae,Lophius litulon
MG599948,Wenling yellow goosefish hantavirus,Hantaviridae,Lophius litulon
MG599949,Wenling red spikefish hantavirus,Hantaviridae,Triacanthodes anomalus
MG599950,Wenling red spikefish hantavirus,Hantaviridae,Triacanthodes anomalus
MG599951,Wenling red spikefish hantavirus,Hantaviridae,Triacanthodes anomalus
MH580295,Psittacine adenovirus 1,Adenoviridae,Poicephalus senegalus
MK496679,Capybara microvirus Cap1_SP_22,Microviridae,Hydrochoerus hydrochaeris
MK496680,Capybara microvirus Cap1_SP_45,Microviridae,Hydrochoerus hydrochaeris
MK496681,Capybara microvirus Cap1_SP_48,Microviridae,Hydrochoerus hydrochaeris
MK496682,Capybara microvirus Cap1_SP_50,Microviridae,Hydrochoerus hydrochaeris
MK496684,Capybara microvirus Cap1_SP_52,Microviridae,Hydrochoerus hydrochaeris
MK496685,Capybara microvirus Cap1_SP_55,Microviridae,Hydrochoerus hydrochaeris
MK496686,Capybara microvirus Cap1_SP_59,Microviridae,Hydrochoerus hydrochaeris
MK496687,Capybara microvirus Cap1_SP_60,Microviridae,Hydrochoerus hydrochaeris
MK496688,Capybara microvirus Cap1_SP_61,Microviridae,Hydrochoerus hydrochaeris
MK496689,Capybara microvirus Cap1_SP_64,Microviridae,Hydrochoerus hydrochaeris
MK496690,Capybara microvirus Cap1_SP_66,Microviridae,Hydrochoerus hydrochaeris
MK496691,Capybara microvirus Cap1_SP_70,Microviridae,Hydrochoerus hydrochaeris
MK496692,Capybara microvirus Cap1_SP_76,Microviridae,Hydrochoerus hydrochaeris
MK496693,Capybara microvirus Cap1_SP_77,Microviridae,Hydrochoerus hydrochaeris
MK496694,Capybara microvirus Cap1_SP_81,Microviridae,Hydrochoerus hydrochaeris
NC_038938,Orthohantavirus prospectense,Hantaviridae,Microtus pennsylvanicus
NC_038939,Orthohantavirus prospectense,Hantaviridae,Microtus pennsylvanicus
NC_038940,Orthohantavirus prospectense,Hantaviridae,Microtus pennsylvanicus
NC_038957,megrivirus B1,Picornaviridae,Columbidae
NC_038961,Shanbavirus A,Picornaviridae,Miniopterus fuliginosus
NC_038964,Porcine pestivirus 1,Flaviviridae,Sus scrofa domesticus
NC_038989,Picornaviridae sp. rodent/Ee/PicoV/NX2015,Picornaviridae,Rodentia
NC_039004,megrivirus E1,Picornaviridae,Pygoscelis adeliae
NC_039005,University of Giessen virus,Arenaviridae,Boa constrictor
NC_039006,University of Giessen virus,Arenaviridae,Boa constrictor
NC_039007,Tavallinen suomalainen mies virus,Arenaviridae,Boa constrictor
NC_039008,Tavallinen suomalainen mies virus,Arenaviridae,Boa constrictor
NC_039009,Mammarenavirus ryukyuense,Arenaviridae,Mus caroli
NC_039010,Mammarenavirus ryukyuense,Arenaviridae,Mus caroli
NC_039011,Souris virus,Arenaviridae,Praomys
NC_039012,Souris virus,Arenaviridae,Praomys
NC_039013,Jungle carpet python virus,Bornaviridae,Morelia spilota
NC_039014,Southwest carpet python virus,Bornaviridae,Morelia spilota
NC_039015,avian paramyxovirus 14,Paramyxoviridae,Chlorocebus aethiops
NC_039016,avian paramyxovirus 16,Paramyxoviridae,Galloanserae
NC_039017,Antarctic penguin virus A,Paramyxoviridae,Amniota
NC_039018,Antarctic penguin virus B,Paramyxoviridae,Amniota
NC_039019,Antarctic penguin virus C,Paramyxoviridae,Amniota
NC_039023,Brown greater galago prosimian foamy virus,Retroviridae,Otolemur crassicaudatus
NC_039024,Central cimpanzee simian foamy virus,Retroviridae,Homo sapiens
NC_039026,Japanese macaque simian foamy virus,Retroviridae,Euarchontoglires
NC_039027,Spider monkey simian foamy virus,Retroviridae,Ateles sp.
NC_039028,Squirrel monkey simian foamy virus,Retroviridae,Saimiri
NC_039029,Western lowland gorilla simian foamy virus,Retroviridae,Gorilla gorilla gorilla
NC_039030,White-tufted-ear marmoset simian foamy virus,Retroviridae,Callithrix
NC_039031,Yellow-breasted capuchin simian foamy virus,Retroviridae,Sapajus xanthosternos
NC_039032,Psittacine aviadenovirus B,Adenoviridae,Poicephalus rufiventris
NC_039033,Bat associated circovirus 9,Circoviridae,Rhinolophus ferrumequinum
NC_039034,Common midwife toad virus,Iridoviridae,Pelophylax lessonae
NC_039036,Giraffa camelopardalis papillomavirus 1,Papillomaviridae,Giraffa camelopardalis
NC_039037,Pudu puda papillomavirus 1,Papillomaviridae,Pudu puda
NC_039038,Talpa europaea papillomavirus 1,Papillomaviridae,Talpa europaea
NC_039039,Peromyscus papillomavirus 1,Papillomaviridae,Peromyscus maniculatus
NC_039040,Myotis ricketti papillomavirus 1,Papillomaviridae,Myotis ricketti
NC_039041,Rusa timorensis papillomavirus 1,Papillomaviridae,Rusa timorensis
NC_039042,Cervus elaphus papillomavirus 2,Papillomaviridae,Cervus elaphus
NC_039044,Feline bocaparvovirus 3,Parvoviridae,Felis catus
NC_039045,Myotis myotis bocavirus 1,Parvoviridae,Myotis myotis
NC_039046,Bat bocavirus WM40,Parvoviridae,Miniopterus fuliginosus
NC_039047,Bat bocavirus XM30,Parvoviridae,Miniopterus fuliginosus
NC_039049,Wuharv (rhesus) parvovirus 1,Parvoviridae,Macaca mulatta
NC_039050,Cutavirus,Parvoviridae,Homo sapiens
NC_039051,Piliocolobus badius polyomavirus 2,Polyomaviridae,Piliocolobus badius
NC_039052,Erythrura gouldiae polyomavirus 1,Polyomaviridae,Chloebia gouldiae
NC_039053,Gammapolyomavirus lonmaja,Polyomaviridae,Lonchura maja
NC_039054,Circoviridae bovine stool/BK/KOR/2011,Smacoviridae,Bos taurus
NC_039057,Camel associated drosmacovirus 1,Smacoviridae,Camelus dromedarius
NC_039058,Camel associated drosmacovirus 2,Smacoviridae,Camelus dromedarius
NC_039059,Chicken associated huchismacovirus 1,Smacoviridae,Gallus gallus
NC_039060,Chicken associated huchismacovirus 2,Smacoviridae,Gallus gallus
NC_039062,Human associated huchismacovirus 2,Smacoviridae,Homo sapiens
NC_039063,Human associated huchismacovirus 3,Smacoviridae,Homo sapiens
NC_039064,Camel associated porprismacovirus 1,Smacoviridae,Camelus dromedarius
NC_039065,Camel associated porprismacovirus 2,Smacoviridae,Camelus dromedarius
NC_039066,Camel associated porprismacovirus 3,Smacoviridae,Camelus dromedarius
NC_039067,Camel associated porprismacovirus 4,Smacoviridae,Camelus dromedarius
NC_039068,Chimpanzee associated porprismacovirus 1,Smacoviridae,Pan troglodytes
NC_039069,Chimpanzee associated porprismacovirus 2,Smacoviridae,Pan troglodytes
NC_039070,Human feces smacovirus 2,Smacoviridae,Homo sapiens
NC_039071,Porcine associated porprismacovirus 4,Smacoviridae,Sus scrofa
NC_039085,Simian foamy virus Pongo pygmaeus pygmaeus,Retroviridae,Pongo pygmaeus pygmaeus
NC_039086,Human papillomavirus 187,Papillomaviridae,Homo sapiens
NC_039089,human papillomavirus 71,Papillomaviridae,Homo sapiens
NC_039183,Orthobunyavirus teteense,Peribunyaviridae,Ploceus cucullatus
NC_039184,Orthobunyavirus teteense,Peribunyaviridae,Ploceus cucullatus
NC_039185,Orthobunyavirus teteense,Peribunyaviridae,Ploceus cucullatus
NC_039189,Parrot bornavirus 1,Bornaviridae,Neognathae
NC_039190,Parrot bornavirus 5,Bornaviridae,Probosciger aterrimus
NC_039191,Punta Toro virus,Phenuiviridae,Homo sapiens
NC_039192,Punta Toro virus,Phenuiviridae,Homo sapiens
NC_039193,Punta Toro virus,Phenuiviridae,Homo sapiens
NC_039194,avian paramyxovirus 6,Paramyxoviridae,Galloanserae
NC_039195,avian paramyxovirus 8,Paramyxoviridae,Amniota
NC_039196,Feline morbillivirus,Paramyxoviridae,Felis catus
NC_039197,Menangle virus,Paramyxoviridae,Boreoeutheria
NC_039198,Teviot virus,Paramyxoviridae,Pteropus alecto
NC_039199,human metapneumovirus,Pneumoviridae,Homo sapiens
NC_039207,Betacoronavirus Erinaceus/VMC/DEU/2012,Coronaviridae,Erinaceus europaeus
NC_039209,Equine rhinitis A virus,Picornaviridae,Equus caballus
NC_039210,Foot-and-mouth disease virus O,Picornaviridae,Eutheria
NC_039212,limnipivirus C1,Picornaviridae,Pimephales promelas
NC_039215,Cyclovirus VN,Circoviridae,Homo sapiens
NC_039219,Royal Farm virus,Flaviviridae,Homo sapiens
NC_039220,Orthonairovirus thiaforaense,Nairoviridae,Boreoeutheria
NC_039221,Orthonairovirus thiaforaense,Nairoviridae,Boreoeutheria
NC_039222,Orthonairovirus thiaforaense,Nairoviridae,Boreoeutheria
NC_039228,Koala retrovirus,Retroviridae,Phascolarctos cinereus
NC_039230,avian paramyxovirus 2,Paramyxoviridae,Amniota
NC_055561,Cervid alphaherpesvirus 3,Orthoherpesviridae,Cervus canadensis
NC_055575,Alphapolyomavirus callosciuri,Polyomaviridae,Callosciurus erythraeus
NC_055576,Sciurus carolinensis polyomavirus 1,Polyomaviridae,Sciurus carolinensis
NC_055578,Betapolyomavirus callosciuri,Polyomaviridae,Callosciurus prevostii
NC_055580,Porcine circovirus 4,Circoviridae,Sus scrofa
NC_055583,Bocaparvovirus primate3,Parvoviridae,Macaca mulatta
NC_055590,Penguin circovirus,Circoviridae,Pygoscelis adeliae
MZ364271,robinz microvirus RP_115,Microviridae,Petroica australis
MZ364272,robinz microvirus RP_117,Microviridae,Petroica australis
MZ364273,robinz microvirus RP_120,Microviridae,Petroica australis
MZ364274,robinz microvirus RP_121,Microviridae,Petroica australis
MZ364275,robinz microvirus RP_131,Microviridae,Petroica australis
MZ364276,robinz microvirus RP_132,Microviridae,Petroica australis
MZ364277,robinz microvirus RP_133,Microviridae,Petroica australis
MZ364278,robinz microvirus RP_136,Microviridae,Petroica australis
MZ364279,robinz microvirus RP_139,Microviridae,Petroica australis
MZ364280,robinz microvirus RP_142,Microviridae,Petroica australis
MZ364281,robinz microvirus RP_143,Microviridae,Petroica australis
MZ364282,robinz microvirus RP_144,Microviridae,Petroica australis
MZ364283,robinz microvirus RP_145,Microviridae,Petroica australis
MZ364284,robinz microvirus RP_147,Microviridae,Petroica australis
MZ364285,robinz microvirus RP_152,Microviridae,Petroica australis
MZ364286,robinz microvirus RP_153,Microviridae,Petroica australis
MZ364287,robinz microvirus RP_160,Microviridae,Petroica australis
MZ364288,robinz microvirus RP_163,Microviridae,Petroica australis
MZ364289,robinz microvirus RP_165,Microviridae,Petroica australis
MZ364290,robinz microvirus RP_171,Microviridae,Petroica australis
MZ364291,robinz microvirus RP_172,Microviridae,Petroica australis
MZ364292,robinz microvirus RP_175,Microviridae,Petroica australis
MZ364293,robinz microvirus RP_178,Microviridae,Petroica australis
MZ364294,robinz microvirus RP_188,Microviridae,Petroica australis
MZ474488,Phage blackswan219-6,Inoviridae,Cygnus atratus
MZ474489,Phage blackswan219-1,Inoviridae,Cygnus atratus
MZ474490,Phage toucan80,Inoviridae,Ramphastidae
MZ474491,Phage silverpheasant213,Inoviridae,Lophura nycthemera
NC_000855,Viral hemorrhagic septicemia virus Fil3,Rhabdoviridae,Osteoglossocephalai
NC_000858,Primate T-lymphotropic virus 1,Retroviridae,Primates
NC_000883,Human parvovirus B19,Parvoviridae,Homo sapiens
NC_000898,Human betaherpesvirus 6B,Orthoherpesviridae,Homo sapiens
NC_000903,Snakehead rhabdovirus,Rhabdoviridae,Percomorphaceae
NC_000940,Cowden I virus,Caliciviridae,Sus scrofa
NC_001132,Myxoma virus,Poxviridae,Leporidae
NC_001266,Rabbit fibroma virus,Poxviridae,Leporidae
NC_001344,Duck hepatitis B virus,Hepadnaviridae,Anas
NC_001348,Human alphaherpesvirus 3,Orthoherpesviridae,Homo sapiens
NC_001350,Saimiriine gammaherpesvirus 2,Orthoherpesviridae,Saimiri sciureus
NC_001352,Alphapapillomavirus 4,Papillomaviridae,Homo sapiens
NC_001354,Human papillomavirus type 41,Papillomaviridae,Homo sapiens
NC_001356,Mupapillomavirus 1,Papillomaviridae,Homo sapiens
NC_001357,human papillomavirus 18,Papillomaviridae,Homo sapiens
NC_001362,Friend murine leukemia virus,Retroviridae,Mus musculus
NC_001364,Western chimpanzee simian foamy virus,Retroviridae,Homininae
NC_001366,Theilovirus,Picornaviridae,Mus musculus
NC_001401,adeno-associated virus 2,Parvoviridae,Mammalia
NC_001403,Fujinami sarcoma virus,Retroviridae,Gallus gallus
NC_001407,Rous sarcoma virus,Retroviridae,Gallus gallus
NC_001413,Bovine immunodeficiency virus,Retroviridae,Bos taurus
NC_001414,Bovine leukemia virus,Retroviridae,Bos taurus
NC_001427,Chicken anemia virus,Anelloviridae,Gallus gallus
NC_001450,Equine infectious anemia virus,Retroviridae,Equus
NC_001451,Infectious bronchitis virus,Coronaviridae,Gallus gallus
NC_001452,Visna-maedi virus,Retroviridae,Ovis aries
NC_001454,Human mastadenovirus F,Adenoviridae,Homo sapiens
NC_001457,Human papillomavirus 4,Papillomaviridae,Homo sapiens
NC_001458,Human papillomavirus type 63,Papillomaviridae,Homo sapiens
NC_001461,Bovine viral diarrhea virus 1,Flaviviridae,Bos taurus
NC_001463,Caprine arthritis encephalitis virus,Retroviridae,Capra hircus
NC_001479,Encephalomyocarditis virus,Picornaviridae,Boreoeutheria
NC_001482,Feline immunodeficiency virus,Retroviridae,Feliformia
NC_001484,Ground squirrel hepatitis virus,Hepadnaviridae,Otospermophilus beecheyi
NC_001486,Heron hepatitis B virus,Hepadnaviridae,Ardeidae
NC_001489,Hepatovirus A,Picornaviridae,Catarrhini
NC_001490,rhinovirus B14,Picornaviridae,Homo sapiens
